Date,Open,High,Low,Close,Volume
2007-02-05,12653.4,12681.2,12629.9,12661.7,204091170
2007-02-06,12661.7,12680.6,12633.9,12666.3,201016997
2007-02-07,12656.9,12700.3,12630.5,12666.9,193979426
2007-02-08,12665.7,12665.8,12575.9,12637.6,193851700
2007-02-09,12638,12675.7,12545.1,12580.8,220340828
2007-02-12,12580.1,12607.5,12536.2,12552.5,174983234
2007-02-13,12549.2,12658.2,12549.2,12654.8,204846458
2007-02-14,12651.3,12759.4,12651.2,12741.9,210906436
2007-02-15,12741.7,12779,12728.7,12765,183207511
2007-02-16,12764.1,12769.2,12744,12767.6,243599343
2007-02-20,12766.8,12795.9,12704.7,12786.6,205800060
2007-02-21,12782.9,12782.9,12707.2,12738.4,213449242
2007-02-22,12735.8,12763.7,12650.6,12686,206799156
2007-02-23,12679.9,12682.1,12628,12647.5,215354574
2007-02-26,12647.9,12697.2,12608.5,12632.2,230107493
2007-02-27,12628.9,12629.4,12086,12216.2,393347203
2007-02-28,12214.9,12353.5,12186,12268.6,412745954
2007-03-01,12265.6,12289.2,12059.5,12234.3,371941072
2007-03-02,12233.8,12247.4,12107.4,12114.1,315110789
2007-03-05,12111.6,12188.8,12039.1,12050.4,278684433
2007-03-06,12051.2,12224.4,12050.6,12207.6,278771678
2007-03-07,12204.5,12256.9,12179,12192.5,263570356
2007-03-08,12193.3,12303.6,12193.3,12260.7,241007950
2007-03-09,12262,12330.9,12228.5,12276.3,211118535
2007-03-12,12275.7,12350,12246.5,12318.6,219605196
2007-03-13,12307.5,12307.6,12072,12076,312369862
2007-03-14,12074.5,12142.9,11939.6,12133.4,333432808
2007-03-15,12133.2,12188.1,12105.9,12159.7,232626436
2007-03-16,12160.2,12190.4,12082.1,12110.4,388580009
2007-03-19,12110.4,12234.7,12110.4,12226.2,208493076
2007-03-20,12226.8,12294,12213.1,12288.1,196593220
2007-03-21,12289,12479.7,12263.5,12447.5,245921698
2007-03-22,12446.7,12476.2,12408.7,12461.1,232728649
2007-03-23,12460.5,12511,12448.7,12481,206503123
2007-03-26,12480.4,12486.8,12367.2,12469.1,220031440
2007-03-27,12468.6,12468.7,12377.3,12397.3,209339791
2007-03-28,12396.5,12396.5,12257.4,12300.4,224730779
2007-03-29,12301.5,12381.9,12267.6,12348.8,208187713
2007-03-30,12348.9,12416.7,12242.6,12354.3,233709668
2007-04-02,12354.5,12395,12324.3,12382.3,209443779
2007-04-03,12379,12534.3,12379,12510.3,220429256
2007-04-04,12511.4,12541.5,12495.8,12530,210042083
2007-04-05,12523.2,12572.5,12500.4,12560.2,164861706
2007-04-09,12562.6,12593.6,12555.3,12569.1,191667444
2007-04-10,12568.5,12588.5,12549.5,12573.8,214669487
2007-04-11,12573.1,12580,12456.7,12484.6,245556053
2007-04-12,12483.6,12557.3,12428.2,12553,218203571
2007-04-13,12551.9,12615.4,12530.2,12612.1,224277536
2007-04-16,12611.6,12731.2,12611.3,12720.5,225060735
2007-04-17,12719.5,12790,12707.5,12773,256931134
2007-04-18,12771.1,12838.5,12729,12803.8,262043601
2007-04-19,12799.8,12830.1,12734.9,12808.6,262520317
2007-04-20,12811.2,12966.3,12810.2,12962,415651301
2007-04-23,12961.5,12983.9,12916.6,12919.4,223300880
2007-04-24,12919.6,12989.9,12901.7,12953.9,238449937
2007-04-25,12951.4,13107.5,12951.4,13089.9,250084129
2007-04-26,13088.8,13132.8,13068.1,13105.5,251655294
2007-04-27,13104,13148,13073.4,13120.9,271009853
2007-04-30,13120.2,13162,13061.5,13062.9,264141103
2007-05-01,13062.8,13137.8,13041.3,13136.1,248992150
2007-05-02,13133.9,13256.3,13130.5,13211.9,251332588
2007-05-03,13206.7,13246.8,13196,13241.4,247244965
